dc:identifier,dc:title,dc:subject1,is part of,dc:description,dc:date,dc:spatial,dc:language,dc:interviewee,dc:interviewer,dc:performer,dc:performer,dc:performer,dc:performer,dc:performer,dc:contributor (recordist),dc:contributor (speaker),dc:extent,dc:subject2,dc:subject3,dc:subject4,dc:subject4
C1002X0086XX-0700,The black velvet band,1CDR0010658 (copy of C1002/86),Keith Summers Collection,Item notes: Roud Folk Song Index No. 2146. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Webb, Percy,  1897- (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:28,,,,
C1002X0078XX-9500,Black velvet band,1CDR0010648 (copy of C1002/78),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2146. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/29, but recorded on a different machine, with a fainter sound but Â with the conversation between the songs retained. Same take as C1002/29 C11. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:40,,,,
C1002X0029XX-1200,Black velvet band,1CDR0007370 (copy of C1002/29),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2146. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Tape runs out. Same session as the one on C1002/78, but recorded on a different machine, with a superior sound but Â without retaining the conversation between the songs. Same take as C1002/78 C56 (on which the tape does not run out). ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:47,,,,
C1002X0089XX-4000,Black velvet band,1CDR0010662 (copy of C1002/89),Keith Summers Collection,Item notes: Roud Folk Song Index No. 2146. Recording notes: Mono. Over-recorded. ,1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Jay, Reg,  1915- (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:07,,,,
C1002X0084XX-1100,Maria Martin,1CDR0010654 (copy of C1002/84),Keith Summers Collection,Item notes: Roud Folk Song Index No. 215. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"List, Billy (singer, male)",,,,,"Summers, Keith (recordist)",,00:06:45,,,,
C1002X0043XX-0300,Murder of Maria Marten/,1CDR0007374 (copy of C1002/43),Keith Summers Collection,Item notes: Roud Folk Song Index No. 215. Recording notes: Though a stereo recording there is substantial interference and extrenous tape noise in the right hand channel. for playback purposes only the left hand channel (split to both channels) has been used.. ,1977,"Brundish, Suffolk, England, UK",,,,"List, Billy  (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:33,,,,
C1002X0090XX-2600,Twenty-one years is a mighty long time,1CDR0010664 (copy of C1002/90),Keith Summers Collection,Item notes: Roud Folk Song Index No. 2248. Laws Ballad No. E16. ,ca. 1973,"A public house, probably in South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:05,melodeon,concertina,,
C1002X0078XX-4000,The female drummer boy,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Roud Folk Song Index No. 226. ,1974,"A public house in Framlingham, Suffolk, England, UK",,,,"Brabbing, Bill 'Dodger', (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:08,,,,
C1002X0032XX-0500,Female drummer,1CDR0007371 (copy of C1002/32),Keith Summers Collection,Item notes: Roud Folk Song Index No. 226. Recorded during a lively pub session. Recording notes: Over recorded. ,4/25/1971,"Hare and Hounds, Framlingham, Suffolk, England, UK",,,,"Brabbing, Bill 'Dodger', (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:42,,,,
C1002X0094XX-0200,We wish you a merry Christmas,1CDR0010668 (copy of C1002/94),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 230. Preceded by a fragment of 'Hail shining morn' and conversation. Recorded in pub; talking, laughter and general pub sounds in background. ",1974-12,"The Fountain Inn, Ingbirchworth, Sheffield, South Yorkshire, England, UK",,,,general chorus,,,,,"Summers, Keith (recordist)",,00:03:27,,,,
C1002X0083XX-0400,The road to Dundee,1CDR0010653 (copy of C1002/83),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2300. Recording notes: Low recording level, noticable tape hiss. ",1971,"Unidentified location, England, UK",,,,"Jordan, Fred, 1922-2002 (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:02,,,,
C1002X0081XX-0300,The road to Dundee,1CDR0010651 (copy of C1002/81),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2300. Recording notes: Very low recording level, noticable tape hiss. ",ca. 1971,"Unidentified folk club, London [?], England, UK",,,,"Jordan, Fred, 1922-2002 (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:17,,,,
C1002X0014XX-0700,The Indian Lass,1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2326. Learnt from his father. Preceded and followed by interview sections. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Two takes edited together at the time. Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:01:00,,,,
C1002X0011XX-0500,Indian Lass,1CDR0007364 (copy of C1002/11),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2326. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",02/01/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:02:19,,,,
C1002X0088XX-0100,Fare thee well my dearest dear,1CDR0010660 (copy of C1002/88),Keith Summers Collection,Item notes: Roud Folk Song Index No. 2540. Song from the version collected from Mrs Verrall by Vaughan Williams (1904). Recording notes: Low recording level. ,ca. 1971-09,"A folk club in Lewes, East Sussex, England, UK",,,,"Blake, Bob (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:03,,,,
C1002X0088XX-1300,Treat my daughter kindly,1CDR0010660 (copy of C1002/88),Keith Summers Collection,Item notes: Roud Folk Song Index No. 2552. Recording notes: Mono dubbing. ,ca. 1971-09,"A folk club in Lewes, East Sussex, England, UK",,,,"Phillips, Cyril,  1911-1990 (accordion, singer, male)",,,,,"Summers, Keith (recordist)",,00:02:16,"accordion, singer, male",,,
C1002X0023XX-0200,The poor little orphan boy,1CDR0007368 (copy of C1002/23),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 258. Laws Ballad No. Q28. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:32,,,,
C1002X0015XX-0400,Botany Bay,1CDR0007365 (copy of C1002/15),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 261. Laws Ballad No. L16a. Laws Ballad No. L16b. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:02:59,,,,
C1002X0056XX-0500,The Boston burglar,1CDR0007343 (copy of C1002/56),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 261. Laws Ballad No. L16A/L16B. Performer notes: Born at Soultholt, Suffolk. Recording notes: Low recording level, XLR raised to -8 dBu. ",1977,"Brundish, Suffolk, England, UK",,,,"Whiting, Charlie, 1905- (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:23,,,,
C1002X0021XX-0400,The Highwayman and the farmer's daughter,1CDR0007368 (copy of C1002/21),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2638. Laws Ballad No. L2. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:31,,,,
C1002X0054XX-0200,Dark Eyed Sailor,1CDR0007342 (copy of C1002/54),Keith Summers Collection,Item notes: Roud Folk Song Index No. 265. Laws Ballad No. N35. ,ca. 1977,"Suffolk, England, UK",,,,"Dow, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:45,,,,
C1002X0042XX-0600,The Dark eyed sailor,1CDR0007374 (copy of C1002/42),Keith Summers Collection,Item notes: Roud Folk Song Index No. 265. Laws Ballad No. N35. ,5/14/1972,"Shelfanger, Norfolk, England, UK",,,,"Laurence, Ted  (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:28,,,,
C1002X0004XX-1000,Dark eyed sailor,1CDR0007362 (copy of C1002/4),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 265. Laws Ballad No. N35. Performer notes: Of Framlingham, Suffolk. Recording notes: Low recording level. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:22,,,,
C1002X0048XX-1000,The Dark Eyed Sailor,1CDR0007341 (copy of C1002/48),Keith Summers Collection,Item notes: Roud Folk Song Index No. 265. Laws Ballad No. N35. Recorded during a lively pub session. Recording notes: Tape runs out. ,1977,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:06,,,,
C1002X0014XX-0200,The Princess Royal,1CDR0007365 (copy of C1002/14),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 265. Preceded and followed by interview sections. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:03:54,,,,
C1002X0080XX-1000,Claudy banks,1CDR0010650 (copy of C1002/80),Keith Summers Collection,Item notes: Roud Folk Song Index No. 266. Laws Ballad No. N40. Recording notes: Low recording level. ,1971-09,"Unidentified folk club, Sussex [?], England, UK",,,,"Copper, Bob, 1915-2004 (singer, male)","Copper, John (singer, male)",,,,"Summers, Keith (recordist)",,00:08:24,,,,
C1002X0081XX-0100,The banks of Claudy,1CDR0010651 (copy of C1002/81),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 266. Laws Ballad No. N40. Recording notes: Very low recording level, noticable tape hiss. ",ca. 1971,"Unidentified folk club, London [?], England, UK",,,,"Jordan, Fred, 1922-2002 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:49,,,,
C1002X0046XX-0800,Early early in the spring,1CDR0007374 (copy of C1002/46),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 273. Laws Ballad No. K12. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",1977,"Worlingworth, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:54,,,,
C1002X0081XX-0800,Sweet William,1CDR0010651 (copy of C1002/81),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 273. Laws Ballad No. K12. Recording notes: Very low recording level, noticable tape hiss. ",ca. 1971,"Unidentified folk club, London [?], England, UK",,,,"Jordan, Fred, 1922-2002 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:59,,,,
C1002X0078XX-7800,Kitty Wells,1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2748. Learnt from Arthur Smith. Followed by conversation. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/29, but recorded on a different machine, with a fainter sound but with the conversation between the songs retained. Same take as C1002/29 C5. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:11,,,,
C1002X0029XX-0600,Kitty Wells,1CDR0007370 (copy of C1002/29),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 2748. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/78, but recorded on a different machine, with a superior sound but Â without retaining the conversation between the songs. Same take as C1002/78 C47. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:46,,,,
C1002X0033XX-0800,I'm seventeen come sunday/,1CDR0007371 (copy of C1002/33),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 277. Laws Ballad No. O17. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",4/26/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900- (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:43,,,,
C1002X0084XX-1500,Green grow the laurels,1CDR0010655 (copy of C1002/84),Keith Summers Collection,Item notes: Roud Folk Song Index No. 279. Recording indistinct. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Webb, Percy,  1897- (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:57,,,,
C1002X0080XX-0900,Babes in the wood,1CDR0010650 (copy of C1002/80),Keith Summers Collection,Item notes: Roud Folk Song Index No. 288. Laws Ballad No. Q34. Recording notes: Low recording level. ,1971-09,"Unidentified folk club, Sussex [?], England, UK",,,,"Copper, Bob, 1915-2004 (singer, male)","Copper, John (singer, male)",,,,"Summers, Keith (recordist)",,00:04:24,,,,
C1002X0023XX-0400,A Box upon her head (Shoot them all),1CDR0007368 (copy of C1002/23),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 289. Laws Ballad No. L3. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. Performance notes: Singing from text.. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:29,,,,
C1002X0087XX-1800,The Moorlough shore,1CDR0010659 (copy of C1002/87),Keith Summers Collection,Item notes: Roud Folk song Index No. 2946. Performer notes: Member of Oak. ,ca. 1972,"Benfleet Folk Club, South Benfleet, Essex, England, UK",,,,"Webb, Peta (singer, female)",,,,,"Summers, Keith (recordist)",,00:01:57,,,,
C1002X0078XX-5500,Lincolnshire poacher,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Roud Folk Song Index No. 299. ,1974,"Woodbridge, Suffolk, England, UK",,,,"Austin, 'Spanker' (fiddle)",,,,,"Summers, Keith (recordist)",,00:05:16,violin,,,
C1002X0078XX-8200,The Lincolnshire poacher,1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 299. Learnt from Arthur Smith. Followed by conversation. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/29, but recorded on a different machine, with a fainter sound but Â with the conversation between the songs retained. Same take as C1002/29 C6. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:13,,,,
C1002X0029XX-0700,The Lincolnshire poacher,1CDR0007370 (copy of C1002/29),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 299. Learnt from George Leek. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/78, but recorded on a different machine, with a superior sound but Â without retaining the conversation between the songs. Same take as C1002/78 C49. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:52,,,,
C1002X0043XX-0400,The Lincolnshire poacher,1CDR0007374 (copy of C1002/43),Keith Summers Collection,Item notes: Roud Folk Song Index No. 299. Recording notes: Though a stereo recording there is substantial interference and extrenous tape noise in the right hand channel. for playback purposes only the left hand channel (split to both channels) has been used.. ,1977,"Brundish, Suffolk, England, UK",,,,"List, Billy  (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:28,,,,
C1002X0086XX-1400,Plenty of thyme,1CDR0010658 (copy of C1002/86),Keith Summers Collection,Item notes: Roud Folk Song Index No. 3. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Poacher, Cyril,  1910-1999 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:28,,,,
C1002X0079XX-2300,Padstow May song,1CDR0010649 (copy of C1002/79),Keith Summers Collection,Item notes: Roud Folk Song index No. 305. ,ca. 1975,"Unidentified folk club, Suffolk [?], England, UK",,,,"Bate, Charlie, 1919-1977 (accordion, singer, male)","Cann, Bob (accordion)",,,,"Summers, Keith (recordist)",,00:00:43,accordion,,,
C1002X0090XX-2500,The keel row,1CDR0010664 (copy of C1002/90),Keith Summers Collection,Item notes: Roud Folk Song Index No. 3059. ,ca. 1973,"A public house, probably in South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:10,melodeon,concertina,,
C1002X0081XX-0400,The bonny boy,1CDR0010651 (copy of C1002/81),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 31. Laws Ballad No. O35. Recording notes: Very low recording level, noticable tape hiss. ",ca. 1971,"Unidentified folk club, London [?], England, UK",,,,"Jordan, Fred, 1922-2002 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:01,,,,
C1002X0033XX-0200,The Blacksmith's daughter (Groggy old tailor),1CDR0007371 (copy of C1002/33),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 311. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",4/26/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900- (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:37,,,,
C1002X0013XX-0900,The Blacksmiths daughter,1CDR0007365 (copy of C1002/13),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 311. Preceded and followed by interview sections. Interview section after the song discusses song ownership, 'The Eel's Foot' and 'Sing or pay'. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:01:57,,,,
C1002X0046XX-1000,Poison Beer,1CDR0007374 (copy of C1002/46),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 3369. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",1977,"Worlingworth, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:44,,,,
C1002X0087XX-2400,The Broomfield wager,1CDR0010659 (copy of C1002/87),Keith Summers Collection,Item notes: Roud Folk Song Index No. 34. Child Ballad No. 43. ,ca. 1972,"Benfleet Folk Club, South Benfleet, Essex, England, UK",,,,Oak,,,,,"Summers, Keith (recordist)",,00:03:27,,,,
C1002X0042XX-0500,All Jolly fellows that follow the plough,1CDR0007374 (copy of C1002/42),Keith Summers Collection,Item notes: Roud Folk Song Index No. 346. ,5/14/1972,"Shelfanger, Norfolk, England, UK",,,,"Laurence, Ted  (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:28,,,,
C1002X0078XX-4800,Home on the range,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Roud Folk Song Index No. 3599. ,1974,"Woodbridge, Suffolk, England, UK",,,,"Austin, 'Spanker' (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:54,violin,,,
C1002X0039XX-0400,Strolling round by Aylesbury,1CDR0007373 (copy of C1002/39),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 364. Performer notes: From Blaxhall, Suffolk. Recording notes: Over recorded at the beginning. ",7/25/1971,"Snape, Suffolk, England, UK",,,,"Woolnough, Dick  (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:41,,,,
C1002X0046XX-0900,Jack the Drover [The Aylesbury girl],1CDR0007374 (copy of C1002/46),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 364. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",1977,"Worlingworth, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:37,,,,
C1002X0032XX-0200,Strolling in Hastings,1CDR0007371 (copy of C1002/32),Keith Summers Collection,Item notes: Roud Folk Song Index No. 364. Recorded during a lively pub session. Recording notes: Over recorded. ,4/25/1971,"Hare and Hounds, Framlingham, Suffolk, England, UK",,,,"Stollery, Aileen (singer, female)",,,,,"Summers, Keith (recordist)",,00:04:07,,,,
C1002X0010XX-0400,Blow the candle out,1CDR0007364 (copy of C1002/10),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 368. Laws Ballad No. P17. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",02/01/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:03:57,,,,
C1002X0079XX-1100,The sweet nightingale,1CDR0010649 (copy of C1002/79),Keith Summers Collection,Item notes: Roud Folk Song Index No. 371. ,ca. 1975,"Unidentified folk club, Suffolk [?], England, UK",,,,"Bate, Charlie, 1919-1977 (accordion, singer, male)","Cann, Bob (accordion)",,,,"Summers, Keith (recordist)",,00:03:37,accordion,,,
C1002X0058XX-0500,The Faithful Sailor Boy,1CDR0007343 (copy of C1002/58),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 376. Laws Ballad No. K13. Performer notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Tunstall, Suffolk, England, UK",,,,"Webb, Percy,  1897- (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:30,,,,
C1002X0004XX-0900,Eggs in her basket,1CDR0007362 (copy of C1002/4),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 377. Performer notes: Of Framlingham, Suffolk. Recording notes: Low recording level. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:47,,,,
C1002X0088XX-0200,The basket of eggs,1CDR0010660 (copy of C1002/88),Keith Summers Collection,Item notes: Roud Folk Song Index No. 377. Song from Henry Burstow of Horsham. Recording notes: Low recording level. ,ca. 1971-09,"A folk club in Lewes, East Sussex, England, UK",,,,"Blake, Bob (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:13,,,,
C1002X0063XX-3800,The Old Rustic Bridge by the Mill,1CDR0007346 (copy of C1002/63),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 3792. Preceded by a (mainly inaudible) intro, with chorus. Recorded during a pub session. Recording notes: Low recording level. Noticable tape hiss.. ",ca. 1970 to 1974,"Catford, London, England, UK",,,,"Belton, George,  1898-1980 (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:40,,,,
C1002X0058XX-0700,If I was a Blackbird,1CDR0007343 (copy of C1002/58),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 387. Performer notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Tunstall, Suffolk, England, UK",,,,"Webb, Percy,  1897- (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:48,,,,
C1002X0085XX-0700,Nancy of Yarmouth,1CDR0010656 (copy of C1002/85),Keith Summers Collection,Item notes: Roud Folk Song Index No. 407. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Poacher, Cyril,  1910-1999 (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:56,,,,
C1002X0009XX-0300,Nancy of Yarmouth - Take 2,1CDR0007363 (copy of C1002/9),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 407. Performer notes: Of the Ling family of Blaxhall, Suffolk. ",1/27/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:03:25,,,,
C1002X0089XX-4100,The farmer's boy,1CDR0010662 (copy of C1002/89),Keith Summers Collection,Item notes: Roud Folk Song Index No. 408. Laws Ballad No. Q30. One line fragment. Recording notes: Mono. Over-recorded. ,1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Jay, Reg,  1915- (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:28,,,,
C1002X0058XX-1100,The Farmers Boy,1CDR0007343 (copy of C1002/58),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 408. Laws Ballad No. Q30. Performer notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Tunstall, Suffolk, England, UK",,,,"Webb, Percy,  1897- (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:56,,,,
C1002X0078XX-5700,The farmer's boy,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Roud Folk Song Index No. 408. Laws Ballad No. Q30. Recording notes: Mains hum at the beginning. ,1974,"Woodbridge, Suffolk, England, UK",,,,"Austin, 'Spanker' (fiddle)",,,,,"Summers, Keith (recordist)","Killen, Louis (male)",00:08:19,violin,,,
C1002X0089XX-4800,"Dreaming, just idly dreaming",1CDR0010663 (copy of C1002/89),Keith Summers Collection,Item notes: Roud Folk Song Index No. 408. Recording notes: Mono. Over-recorded. ,1973,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Jay, Reg,  1915- (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:12,,,,
C1002X0085XX-2200,Grandfather's clock,1CDR0010657 (copy of C1002/85),Keith Summers Collection,Item notes: Roud Folk Song Index No. 4326. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"List, Fred (accordion)",,,,,"Summers, Keith (recordist)",,00:03:14,accordion,,,
C1002X0050XX-0700,where did you get that hat,1CDR0007341 (copy of C1002/50),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 4877. Performer notes: From Yoxford and Leiston, Suffolk. Grandson of Charlie Phillpott.. ",1978-02,"Leiston [?], Suffolk, England, UK",,,,"Reeder, Reg, 1943- (dulcimer)",,,,,"Summers, Keith (recordist)",,00:04:52,dulcimer,,,
C1002X0015XX-0300,Newry Town,1CDR0007365 (copy of C1002/15),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 490. Laws Ballad No. L12. Fragment. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. Recording notes: Low recording level (tape hiss). Original recording Â was aborted as tape machine ran down (recording speeds up and for playback purposes is too quick even for the lowest setting on a variable speed player). ",ca. 1975,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:02:55,,,,
C1002X0010XX-0700,Newry Town,1CDR0007364 (copy of C1002/10),Keith Summers Collection,"Item notes: Roud Folk Song Index No. 490. Laws Ballad No. L12. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",02/01/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:04:32,,,,
C1002X0084XX-1400,A broadside,1CDR0010655 (copy of C1002/84),Keith Summers Collection,Item notes: Roud Folk Song Index No. 492. Laws Ballad No. N4. ,ca. 1972,"The Blaxhall Ship, Blaxhall, Suffolk, England, UK",,,,"Scarce, Bob, 1885-1974 (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:13,,,,
